VegPotID;SubModuleID;ParameterEstimate;Veg_Pot;Effect;Ess_groupe;qualite;drainage;vigueur;produit;type_pe;regEco;response;ntrt;mscr
1;1;-4.389071417;FC1;Intercept;;;;;;;;;;
1;1;1.420692562;FC1;vigu0;;;;NVIG;;;;;;
1;1;0;FC1;vigu0;;;;VIG;;;;;;
1;1;-0.347922882;FC1;essgroup;AUT;;;;;;;;;
1;1;-1.811085711;FC1;essgroup;BOJ;;;;;;;;;
1;1;-0.842769599;FC1;essgroup;EPX;;;;;;;;;
1;1;-1.864720087;FC1;essgroup;ERR;;;;;;;;;
1;1;-2.290993308;FC1;essgroup;ERS;;;;;;;;;
1;1;-1.475171479;FC1;essgroup;FEN;;;;;;;;;
1;1;-0.037774018;FC1;essgroup;FIN;;;;;;;;;
1;1;-2.068555473;FC1;essgroup;HEG;;;;;;;;;
1;1;-1.917083754;FC1;essgroup;RES;;;;;;;;;
1;1;0;FC1;essgroup;SAB;;;;;;;;;
1;1;-0.220568194;FC1;essgroup*vigu0;AUT;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;AUT;;;VIG;;;;;;
1;1;0.18263698;FC1;essgroup*vigu0;BOJ;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;BOJ;;;VIG;;;;;;
1;1;0.284475137;FC1;essgroup*vigu0;EPX;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;EPX;;;VIG;;;;;;
1;1;-0.125880866;FC1;essgroup*vigu0;ERR;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;ERR;;;VIG;;;;;;
1;1;0.22549199;FC1;essgroup*vigu0;ERS;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;ERS;;;VIG;;;;;;
1;1;-0.041025782;FC1;essgroup*vigu0;FEN;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;FEN;;;VIG;;;;;;
1;1;-0.599181073;FC1;essgroup*vigu0;FIN;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;FIN;;;VIG;;;;;;
1;1;0.549859456;FC1;essgroup*vigu0;HEG;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;HEG;;;VIG;;;;;;
1;1;0.35569841;FC1;essgroup*vigu0;RES;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;RES;;;VIG;;;;;;
1;1;0;FC1;essgroup*vigu0;SAB;;;NVIG;;;;;;
1;1;0;FC1;essgroup*vigu0;SAB;;;VIG;;;;;;
1;1;-0.006720996;FC1;dhp0;;;;;;;;;;
1;1;0.000217976;FC1;dhp0*dhp0;;;;;;;;;;
1;1;0.242000311;FC1;prod0;;;;;PATE;;;;;
1;1;0;FC1;prod0;;;;;RES;;;;;
1;1;0;FC1;prod0;;;;;SCI;;;;;
