Essence_billon;Produit;Cov
BOJ;DER;0.07122417
BOJ;F1;0.043396101
BOJ;F2;0.134072031
BOJ;F3;0.211593674
BOJ;F4;0.316911731
BOJ;P;0.333900661
ERS;F1;0.075912485
ERS;F2;0.185957607
ERS;F3;0.298381598
ERS;F4;0.251123457
ERS;P;0.338708897
BOP;F1;0.076986373
BOP;F2;0.074671087
BOP;F3;0.222569404
BOP;F4;0.215060933
BOP;P;0.300325909
CHX;F1;0.143651328
CHX;F2;0.105938956
CHX;F3;0.187822137
CHX;F4;0.208798676
CHX;P;0.418704441
ERR;F3;0.29714923
ERR;P;0.23922788
HEG;F2;0.248586057
HEG;F3;0.238062936
HEG;F4;0.136865027
HEG;P;0.269588245
