Essence_billon;Module;ParameterEstimate;Produit;Effet
BOJ;Pres;-12.0097979427433;DER;classepetro
BOJ;Pres;-19.6429885782211;F1;classepetro
BOJ;Pres;-7.67994842433077;F2;classepetro
BOJ;Pres;3.33648880350814;F3;classepetro
BOJ;Pres;-0.990325044409132;F4;classepetro
BOJ;Pres;-1.01134424197799;P;classepetro
BOJ;Pres;0.0539211224391214;DER;dhpcm
BOJ;Pres;0.0539211224391214;F1;dhpcm
BOJ;Pres;0.0539211224391214;F2;dhpcm
BOJ;Pres;0.0539211224391214;F3;dhpcm
BOJ;Pres;0.0539211224391214;F4;dhpcm
BOJ;Pres;0.0539211224391214;P;dhpcm
BOJ;Pres;0.32931961015306;DER;dhpcm_classepetro
BOJ;Pres;0.584040370738165;F1;dhpcm_classepetro
BOJ;Pres;0.225585202718064;F2;dhpcm_classepetro
BOJ;Pres;-0.148651748816203;F3;dhpcm_classepetro
BOJ;Pres;-0.0749604394769227;F4;dhpcm_classepetro
BOJ;Pres;0;P;dhpcm_classepetro
BOJ;Pres;-1.28638129755364e-4;DER;dhpcm2
BOJ;Pres;-1.28638129755364e-4;F1;dhpcm2
BOJ;Pres;-1.28638129755364e-4;F2;dhpcm2
BOJ;Pres;-1.28638129755364e-4;F3;dhpcm2
BOJ;Pres;-1.28638129755364e-4;F4;dhpcm2
BOJ;Pres;-1.28638129755364e-4;P;dhpcm2
BOJ;Pres;-0.00368471579353834;DER;dhpcm2_classepetro
BOJ;Pres;-0.0056143342586775;F1;dhpcm2_classepetro
BOJ;Pres;-0.00253121531841695;F2;dhpcm2_classepetro
BOJ;Pres;5.59881299128407e-4;F3;dhpcm2_classepetro
BOJ;Pres;1.44295596374608e-4;F4;dhpcm2_classepetro
BOJ;Pres;0;P;dhpcm2_classepetro
BOJ;Vol;-2.57559019287328;DER;classepetro
BOJ;Vol;-1.84605429769374;F1;classepetro
BOJ;Vol;-2.24265927909948;F2;classepetro
BOJ;Vol;-2.24956565214337;F3;classepetro
BOJ;Vol;-3.16430158748024;F4;classepetro
BOJ;Vol;-2.57280035545694;P;classepetro
BOJ;Vol;0.0326459535964513;DER;dhpcm
BOJ;Vol;0.0326459535964513;F1;dhpcm
BOJ;Vol;0.0326459535964513;F2;dhpcm
BOJ;Vol;0.0326459535964513;F3;dhpcm
BOJ;Vol;0.0326459535964513;F4;dhpcm
BOJ;Vol;0.0326459535964513;P;dhpcm
BOJ;Vol;0.00234105314068233;DER;dhpcm_classepetro
BOJ;Vol;-0.0100226550715511;F1;dhpcm_classepetro
BOJ;Vol;-0.00621145652168335;F2;dhpcm_classepetro
BOJ;Vol;-0.0114634436669537;F3;dhpcm_classepetro
BOJ;Vol;-0.00682050224681229;F4;dhpcm_classepetro
BOJ;Vol;0;P;dhpcm_classepetro
BOP;Pres;0;DER;classepetro
BOP;Pres;-17.4692163131562;F1;classepetro
BOP;Pres;-28.9675223796765;F2;classepetro
BOP;Pres;-0.164652480640478;F3;classepetro
BOP;Pres;0.980619091663009;F4;classepetro
BOP;Pres;-0.0450966439687955;P;classepetro
BOP;Pres;0;DER;dhpcm
BOP;Pres;0.027780973187555;F1;dhpcm
BOP;Pres;0.027780973187555;F2;dhpcm
BOP;Pres;0.027780973187555;F3;dhpcm
BOP;Pres;0.027780973187555;F4;dhpcm
BOP;Pres;0.027780973187555;P;dhpcm
BOP;Pres;0;DER;dhpcm_classepetro
BOP;Pres;0.637483456921815;F1;dhpcm_classepetro
BOP;Pres;1.30887927352062;F2;dhpcm_classepetro
BOP;Pres;0.0807457522867209;F3;dhpcm_classepetro
BOP;Pres;-0.11476928140952;F4;dhpcm_classepetro
BOP;Pres;0;P;dhpcm_classepetro
BOP;Pres;0;DER;dhpcm2
BOP;Pres;1.45103407141589e-4;F1;dhpcm2
BOP;Pres;1.45103407141589e-4;F2;dhpcm2
BOP;Pres;1.45103407141589e-4;F3;dhpcm2
BOP;Pres;1.45103407141589e-4;F4;dhpcm2
BOP;Pres;1.45103407141589e-4;P;dhpcm2
BOP;Pres;0;DER;dhpcm2_classepetro
BOP;Pres;-0.00672874886121261;F1;dhpcm2_classepetro
BOP;Pres;-0.0154498095972155;F2;dhpcm2_classepetro
BOP;Pres;-0.00214037134460476;F3;dhpcm2_classepetro
BOP;Pres;4.16645670073534e-4;F4;dhpcm2_classepetro
BOP;Pres;0;P;dhpcm2_classepetro
BOP;Vol;0;DER;classepetro
BOP;Vol;-2.72538092330435;F1;classepetro
BOP;Vol;-2.77678644672893;F2;classepetro
BOP;Vol;-2.26150295090573;F3;classepetro
BOP;Vol;-3.47799151856508;F4;classepetro
BOP;Vol;-3.22589325602037;P;classepetro
BOP;Vol;0;DER;dhpcm
BOP;Vol;0.045951229277924;F1;dhpcm
BOP;Vol;0.045951229277924;F2;dhpcm
BOP;Vol;0.045951229277924;F3;dhpcm
BOP;Vol;0.045951229277924;F4;dhpcm
BOP;Vol;0.045951229277924;P;dhpcm
BOP;Vol;0;DER;dhpcm_classepetro
BOP;Vol;-0.00652536508225268;F1;dhpcm_classepetro
BOP;Vol;-0.00536991465846987;F2;dhpcm_classepetro
BOP;Vol;-0.0206170710791309;F3;dhpcm_classepetro
BOP;Vol;-0.0104898202008164;F4;dhpcm_classepetro
BOP;Vol;0;P;dhpcm_classepetro
CHX;Pres;0;DER;classepetro
CHX;Pres;-3.87526140037118;F1;classepetro
CHX;Pres;-1.85683695370944;F2;classepetro
CHX;Pres;5.13433551162726;F3;classepetro
CHX;Pres;1.38556237227449;F4;classepetro
CHX;Pres;1.33876131235136;P;classepetro
CHX;Pres;0;DER;dhpcm
CHX;Pres;0.00401264150241966;F1;dhpcm
CHX;Pres;0.00401264150241966;F2;dhpcm
CHX;Pres;0.00401264150241966;F3;dhpcm
CHX;Pres;0.00401264150241966;F4;dhpcm
CHX;Pres;0.00401264150241966;P;dhpcm
CHX;Pres;0;DER;dhpcm_classepetro
CHX;Pres;0.0615097804144929;F1;dhpcm_classepetro
CHX;Pres;0.0379727287341349;F2;dhpcm_classepetro
CHX;Pres;-0.107653060909149;F3;dhpcm_classepetro
CHX;Pres;-0.0523755482055442;F4;dhpcm_classepetro
CHX;Pres;0;P;dhpcm_classepetro
CHX;Vol;0;DER;classepetro
CHX;Vol;-2.70433948820049;F1;classepetro
CHX;Vol;-2.33434381461206;F2;classepetro
CHX;Vol;-1.98708521446672;F3;classepetro
CHX;Vol;-3.37184973358027;F4;classepetro
CHX;Vol;-3.61575533151655;P;classepetro
CHX;Vol;0;DER;dhpcm
CHX;Vol;0.0489399977031864;F1;dhpcm
CHX;Vol;0.0489399977031864;F2;dhpcm
CHX;Vol;0.0489399977031864;F3;dhpcm
CHX;Vol;0.0489399977031864;F4;dhpcm
CHX;Vol;0.0489399977031864;P;dhpcm
CHX;Vol;0;DER;dhpcm_classepetro
CHX;Vol;-0.00334265783923531;F1;dhpcm_classepetro
CHX;Vol;-0.0180255298351621;F2;dhpcm_classepetro
CHX;Vol;-0.0304162351806588;F3;dhpcm_classepetro
CHX;Vol;-0.0187370137401195;F4;dhpcm_classepetro
CHX;Vol;0;P;dhpcm_classepetro
ERR;Pres;0;DER;classepetro
ERR;Pres;0;F1;classepetro
ERR;Pres;0;F2;classepetro
ERR;Pres;0.861619035133866;F3;classepetro
ERR;Pres;0;F4;classepetro
ERR;Pres;2.38063419142867;P;classepetro
ERR;Pres;0;DER;dhpcm
ERR;Pres;0;F1;dhpcm
ERR;Pres;0;F2;dhpcm
ERR;Pres;0.0189578975614193;F3;dhpcm
ERR;Pres;0;F4;dhpcm
ERR;Pres;0.0189578975614193;P;dhpcm
ERR;Pres;0;DER;dhpcm_classepetro
ERR;Pres;0;F1;dhpcm_classepetro
ERR;Pres;0;F2;dhpcm_classepetro
ERR;Pres;-0.0372691933431359;F3;dhpcm_classepetro
ERR;Pres;0;F4;dhpcm_classepetro
ERR;Pres;0;P;dhpcm_classepetro
ERR;Vol;0;DER;classepetro
ERR;Vol;0;F1;classepetro
ERR;Vol;0;F2;classepetro
ERR;Vol;-2.92651474121904;F3;classepetro
ERR;Vol;0;F4;classepetro
ERR;Vol;-2.99634181424292;P;classepetro
ERR;Vol;0;DER;dhpcm
ERR;Vol;0;F1;dhpcm
ERR;Vol;0;F2;dhpcm
ERR;Vol;0.0504419198230511;F3;dhpcm
ERR;Vol;0;F4;dhpcm
ERR;Vol;0.0504419198230511;P;dhpcm
ERR;Vol;0;DER;dhpcm_classepetro
ERR;Vol;0;F1;dhpcm_classepetro
ERR;Vol;0;F2;dhpcm_classepetro
ERR;Vol;-0.00695980204359495;F3;dhpcm_classepetro
ERR;Vol;0;F4;dhpcm_classepetro
ERR;Vol;0;P;dhpcm_classepetro
ERS;Pres;0;DER;classepetro
ERS;Pres;-22.9199534783039;F1;classepetro
ERS;Pres;-14.4750438429013;F2;classepetro
ERS;Pres;-1.80885823945755;F3;classepetro
ERS;Pres;0.810055253391667;F4;classepetro
ERS;Pres;4.38199890087923;P;classepetro
ERS;Pres;0;DER;dhpcm
ERS;Pres;-0.0704434983265966;F1;dhpcm
