Essence_billon;Module;Produit;QualiteABCD;eco;ParameterEstimate;Effet
BOJ;Pres;DER;A;;-3.69370639;classepetro_qual
BOJ;Pres;F1;A;;-15.55482948;classepetro_qual
BOJ;Pres;F2;A;;-5.695947375;classepetro_qual
BOJ;Pres;F3;A;;2.968041372;classepetro_qual
BOJ;Pres;F4;A;;-1.708216559;classepetro_qual
BOJ;Pres;P;A;;-0.814294817;classepetro_qual
BOJ;Pres;DER;B;;-4.654676852;classepetro_qual
BOJ;Pres;F1;B;;-17.02056798;classepetro_qual
BOJ;Pres;F2;B;;-5.725508998;classepetro_qual
BOJ;Pres;F3;B;;3.470654427;classepetro_qual
BOJ;Pres;F4;B;;-1.775515652;classepetro_qual
BOJ;Pres;P;B;;-0.683393769;classepetro_qual
BOJ;Pres;DER;C;;-7.166949338;classepetro_qual
BOJ;Pres;F1;C;;-17.39461647;classepetro_qual
BOJ;Pres;F2;C;;-6.851064753;classepetro_qual
BOJ;Pres;F3;C;;3.333223729;classepetro_qual
BOJ;Pres;F4;C;;-1.6932202;classepetro_qual
BOJ;Pres;P;C;;-0.658203126;classepetro_qual
BOJ;Pres;DER;D;;-8.478318641;classepetro_qual
BOJ;Pres;F1;D;;-19.25114598;classepetro_qual
BOJ;Pres;F2;D;;-8.259094531;classepetro_qual
BOJ;Pres;F3;D;;2.182860653;classepetro_qual
BOJ;Pres;F4;D;;-2.37539099;classepetro_qual
BOJ;Pres;P;D;;0.521156321;classepetro_qual
BOJ;Pres;DER;;;0.10606915;dhpcm_classepetro
BOJ;Pres;F1;;;0.524180817;dhpcm_classepetro
BOJ;Pres;F2;;;0.228128593;dhpcm_classepetro
BOJ;Pres;F3;;;-0.082238907;dhpcm_classepetro
BOJ;Pres;F4;;;-0.005568219;dhpcm_classepetro
BOJ;Pres;P;;;-0.000348903;dhpcm_classepetro
BOJ;Pres;DER;;;-0.001171072;dhpcm2_classepetro
BOJ;Pres;F1;;;-0.004481918;dhpcm2_classepetro
BOJ;Pres;F2;;;-0.001955193;dhpcm2_classepetro
BOJ;Pres;F3;;;0.000427231;dhpcm2_classepetro
BOJ;Pres;F4;;;1.09748E-05;dhpcm2_classepetro
BOJ;Pres;P;;;0.000307169;dhpcm2_classepetro
BOJ;Pres;DER;;3E;1.396331854;classepetro_eco
