Espece;DHPcm;eco
BOJ;24;3O
BOJ;24;3E
BOJ;24;4O_b
BOJ;24;4O_c
BOJ;24;4E
BOJ;26;3O
BOJ;26;3E
BOJ;26;4O_b
BOJ;26;4O_c
BOJ;26;4E
BOJ;28;3O
BOJ;28;3E
BOJ;28;4O_b
BOJ;28;4O_c
BOJ;28;4E
BOJ;30;3O
BOJ;30;3E
BOJ;30;4O_b
BOJ;30;4O_c
BOJ;30;4E
BOJ;32;3O
BOJ;32;3E
BOJ;32;4O_b
BOJ;32;4O_c
BOJ;32;4E
BOJ;34;3O
BOJ;34;3E
BOJ;34;4O_b
BOJ;34;4O_c
BOJ;34;4E
BOJ;36;3O
BOJ;36;3E
BOJ;36;4O_b
BOJ;36;4O_c
BOJ;36;4E
BOJ;38;3O
BOJ;38;3E
BOJ;38;4O_b
BOJ;38;4O_c
BOJ;38;4E
BOJ;40;3O
BOJ;40;3E
BOJ;40;4O_b
BOJ;40;4O_c
BOJ;40;4E
BOJ;42;3O
BOJ;42;3E
BOJ;42;4O_b
BOJ;42;4O_c
BOJ;42;4E
BOJ;44;3O
BOJ;44;3E
BOJ;44;4O_b
BOJ;44;4O_c
BOJ;44;4E
BOJ;46;3O
BOJ;46;3E
BOJ;46;4O_b
BOJ;46;4O_c
BOJ;46;4E
BOJ;48;3O
BOJ;48;3E
BOJ;48;4O_b
BOJ;48;4O_c
BOJ;48;4E
BOJ;50;3O
BOJ;50;3E
BOJ;50;4O_b
BOJ;50;4O_c
BOJ;50;4E
BOJ;52;3O
BOJ;52;3E
BOJ;52;4O_b
BOJ;52;4O_c
BOJ;52;4E
BOJ;54;3O
BOJ;54;3E
BOJ;54;4O_b
BOJ;54;4O_c
BOJ;54;4E
BOJ;56;3O
BOJ;56;3E
BOJ;56;4O_b
BOJ;56;4O_c
BOJ;56;4E
BOJ;58;3O
BOJ;58;3E
BOJ;58;4O_b
BOJ;58;4O_c
BOJ;58;4E
BOJ;60;3O
BOJ;60;3E
BOJ;60;4O_b
BOJ;60;4O_c
BOJ;60;4E
BOJ;62;3O
BOJ;62;3E
BOJ;62;4O_b
BOJ;62;4O_c
BOJ;62;4E
BOJ;64;3O
BOJ;64;3E
BOJ;64;4O_b
BOJ;64;4O_c
BOJ;64;4E
BOJ;66;3O
BOJ;66;3E
BOJ;66;4O_b
BOJ;66;4O_c
BOJ;66;4E
BOJ;68;3O
BOJ;68;3E
BOJ;68;4O_b
BOJ;68;4O_c
BOJ;68;4E
BOJ;70;3O
BOJ;70;3E
BOJ;70;4O_b
