"essence";"DHPcm";"eco";"vm3_DER";"vm3_F1";"vm3_F2";"vm3_F3";"vm3_F4";"vm3_P"
"BOJ";24;"3O";0.000290604030155545;4.76306539467187e-05;0.00789403179175886;0.130768196188844;0.0116827496745672;0.164756452494706
"BOJ";24;"3E";0.00174713666983352;9.31048857574095e-05;0.0139445675065704;0.133726307182647;0.0166235489440526;0.0631114528340127
"BOJ";24;"4O_b";0.000100041426410025;3.77881791220039e-05;0.00706814899917342;0.133966639972266;0.00880481256338036;0.152488879734728
"BOJ";24;"4O_c";0.000447280302265206;7.94265352623434e-05;0.0140529339202045;0.148627559144349;0.00944355286940073;0.0551434824258107
"BOJ";24;"4E";0.000168637647554936;6.12496709681984e-05;0.00570122565114763;0.101564540381276;0.0142710743392708;0.227240723887238
"BOJ";26;"3O";0.00053046965563859;0.000112883943164549;0.0115657777858605;0.132480719829776;0.0126417868200507;0.181247853775475
"BOJ";26;"3E";0.00316822884070116;0.000220595247113191;0.0201882836911851;0.135708794499383;0.018011635757228;0.0701232891118723
"BOJ";26;"4O_b";0.000182793063368542;8.95597407439788e-05;0.0103627293306058;0.135641996753114;0.00951774142404383;0.167695391744227
"BOJ";26;"4O_c";0.00081580466500987;0.000188201205756349;0.0203176512651145;0.152878362810731;0.0102168908441268;0.0612874460060819
"BOJ";26;"4E";0.000307997135824096;0.000145144078446696;0.00838122210061317;0.100870811552836;0.0154453596680706;0.249402890963891
"BOJ";28;"3O";0.000927838624095097;0.00025366084013374;0.0164863030317469;0.133711317237184;0.0136238523655405;0.199101470905433
"BOJ";28;"3E";0.00548973702024034;0.000495429342799588;0.0283652061575099;0.137208423463841;0.0194358550408267;0.0779226228316545
"BOJ";28;"4O_b";0.000320166002984656;0.000201259229735156;0.0147836274475192;0.13682060864252;0.0102466604554986;0.184142510655067
"BOJ";28;"4O_c";0.0014252586754771;0.000422738628541551;0.0285009918837724;0.15674716538737;0.0110085791963608;0.0681266277551482
"BOJ";28;"4E";0.000539129198841605;0.000326079725242941;0.0119964890374079;0.0998039692268994;0.0166481664672797;0.273240248510049
"BOJ";30;"3O";0.00155480311973427;0.000540339405821542;0.0228592272664957;0.134464022269583;0.0146224353231401;0.218389374789152
"BOJ";30;"3E";0.00908311100927024;0.00105429870177734;0.038675364272597;0.138224795510599;0.0208869741967537;0.0865918115242785
"BOJ";30;"4O_b";0.000537533894707822;0.000428754612391189;0.0205183993222747;0.137508177251193;0.0109866577713831;0.201893663219503
"BOJ";30;"4O_c";0.00238455361858807;0.000899851514431149;0.0387888988444085;0.16020086436051;0.0118133533761806;0.0757347561311979
"BOJ";30;"4E";0.00090438602645408;0.000694320252382771;0.0167158550489175;0.0984068917113728;0.0178715438210319;0.298820787622129
"BOJ";32;"3O";0.00249586636727911;0.00109080933795545;0.0308329669468216;0.134753510040426;0.01563032611386;0.239181010704753
"BOJ";32;"3E";0.0143441340771414;0.00212471047278016;0.0511940658287073;0.138768320380647;0.0223547124179768;0.0962191951352515
"BOJ";32;"4O_b";0.00086503826211431;0.000865685100569097;0.0277064976055782;0.137721309488835;0.0117323174368484;0.221009695138333
"BOJ";32;"4O_c";0.00381991707523015;0.00181430002225547;0.0512404158547236;0.163214336402059;0.012625388453475;0.0841911239728289
"BOJ";32;"4E";0.00145378037202976;0.00140066819300531;0.0226741978499912;0.0967265101257089;0.0191066810841062;0.326207936476714
"BOJ";34;"3O";0.00383787529924618;0.00208610121361313;0.0404707119038851;0.134604061650173;0.0166396869672263;0.2615419963152
"BOJ";34;"3E";0.0216204341954269;0.00405198848492231;0.0658471978091141;0.1388593969408;0.0238278366606288;0.106898780821717
"BOJ";34;"4O_b";0.00133430874565841;0.00165599600555028;0.0364116516647151;0.137486375437108;0.0124777740276759;0.241547813307384
"BOJ";34;"4O_c";0.00585878796000991;0.00346263772315497;0.0657660462435963;0.165771307507576;0.0134383563291224;0.0935803562778135
