VegPotID;SpeciesID;SpeciesGroupID;RelationHDSpeciesID;VolumeSpeciesID;HarvestSpeciesID
1;1;7;2;3;6
1;2;2;1;10;2
1;3;7;2;3;6
1;4;6;3;5;6
1;5;6;3;5;6
1;6;6;3;5;6
1;7;6;3;5;6
1;8;6;3;5;6
1;9;6;3;5;6
1;10;6;3;5;6
1;11;6;3;5;10
1;12;6;3;5;6
1;13;3;4;6;6
1;14;3;4;6;6
1;15;3;4;6;6
1;16;3;4;6;4
1;17;5;8;10;6
1;18;1;12;16;6
1;19;5;8;10;6
1;20;1;12;16;6
1;21;4;7;9;6
1;22;5;8;10;10
1;23;6;3;5;6
1;24;6;3;5;10
1;25;6;3;5;10
1;26;8;10;13;10
1;27;9;17;23;6
1;28;1;12;16;6
1;29;9;17;23;6
1;30;9;17;23;6
1;31;9;17;23;6
1;32;6;3;5;6
1;33;6;3;5;10
1;34;6;3;5;10
1;35;6;3;5;10
1;36;1;12;16;10
1;37;7;2;3;6
1;38;7;2;3;10
1;39;7;2;3;10
1;40;7;2;3;6
1;41;7;2;3;6
1;42;9;17;23;6
1;43;9;17;23;10
1;44;9;17;23;6
1;45;9;17;23;6
1;46;9;17;23;6
1;47;1;12;16;6
1;48;9;17;23;6
1;49;10;18;24;6
1;50;1;12;16;6
1;51;1;12;16;6
1;52;1;12;16;6
1;53;9;17;23;6
1;54;6;3;5;6
1;55;1;12;16;6
1;56;1;12;16;6
1;57;1;12;16;6
1;58;6;3;5;6
1;59;1;12;16;6
