VegPotID;SubModuleID;ParameterEstimate;Veg_Pot;Effect;Ess_groupe;qualite;drainage;vigueur;produit;type_pe;regEco;response;ntrt;mscr
1;1;-4.389071417;FC1;Intercept;;NA;NA;;;;;;NA;
1;1;1.420692562;FC1;vigu0;;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;vigu0;;NA;NA;VIG;;;;;NA;
1;1;-0.347922882;FC1;essgroup;AUT;NA;NA;;;;;;NA;
1;1;-1.811085711;FC1;essgroup;BOJ;NA;NA;;;;;;NA;
1;1;-0.842769599;FC1;essgroup;EPX;NA;NA;;;;;;NA;
1;1;-1.864720087;FC1;essgroup;ERR;NA;NA;;;;;;NA;
1;1;-2.290993308;FC1;essgroup;ERS;NA;NA;;;;;;NA;
1;1;-1.475171479;FC1;essgroup;FEN;NA;NA;;;;;;NA;
1;1;-0.037774018;FC1;essgroup;FIN;NA;NA;;;;;;NA;
1;1;-2.068555473;FC1;essgroup;HEG;NA;NA;;;;;;NA;
1;1;-1.917083754;FC1;essgroup;RES;NA;NA;;;;;;NA;
1;1;0;FC1;essgroup;SAB;NA;NA;;;;;;NA;
1;1;-0.220568194;FC1;essgroup*vigu0;AUT;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;AUT;NA;NA;VIG;;;;;NA;
1;1;0.18263698;FC1;essgroup*vigu0;BOJ;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;BOJ;NA;NA;VIG;;;;;NA;
1;1;0.284475137;FC1;essgroup*vigu0;EPX;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;EPX;NA;NA;VIG;;;;;NA;
1;1;-0.125880866;FC1;essgroup*vigu0;ERR;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;ERR;NA;NA;VIG;;;;;NA;
1;1;0.22549199;FC1;essgroup*vigu0;ERS;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;ERS;NA;NA;VIG;;;;;NA;
1;1;-0.041025782;FC1;essgroup*vigu0;FEN;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;FEN;NA;NA;VIG;;;;;NA;
1;1;-0.599181073;FC1;essgroup*vigu0;FIN;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;FIN;NA;NA;VIG;;;;;NA;
1;1;0.549859456;FC1;essgroup*vigu0;HEG;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;HEG;NA;NA;VIG;;;;;NA;
1;1;0.35569841;FC1;essgroup*vigu0;RES;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;RES;NA;NA;VIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;SAB;NA;NA;NVIG;;;;;NA;
1;1;0;FC1;essgroup*vigu0;SAB;NA;NA;VIG;;;;;NA;
1;1;-0.006720996;FC1;dhp0;;NA;NA;;;;;;NA;
1;1;2.17976e-4;FC1;dhp0*dhp0;;NA;NA;;;;;;NA;
1;1;0.242000311;FC1;prod0;;NA;NA;;PATE;;;;NA;
1;1;0;FC1;prod0;;NA;NA;;RES;;;;NA;
1;1;0;FC1;prod0;;NA;NA;;SCI;;;;NA;
1;1;0.316317439;FC1;essgroup*prod0;AUT;NA;NA;;PATE;;;;NA;
1;1;0;FC1;essgroup*prod0;AUT;NA;NA;;RES;;;;NA;
1;1;0;FC1;essgroup*prod0;AUT;NA;NA;;SCI;;;;NA;
1;1;0.394972566;FC1;essgroup*prod0;BOJ;NA;NA;;PATE;;;;NA;
1;1;0;FC1;essgroup*prod0;BOJ;NA;NA;;RES;;;;NA;
1;1;0;FC1;essgroup*prod0;BOJ;NA;NA;;SCI;;;;NA;
1;1;0;FC1;essgroup*prod0;EPX;NA;NA;;PATE;;;;NA;
1;1;0;FC1;essgroup*prod0;EPX;NA;NA;;RES;;;;NA;
1;1;0;FC1;essgroup*prod0;EPX;NA;NA;;SCI;;;;NA;
1;1;0.855683546;FC1;essgroup*prod0;ERR;NA;NA;;PATE;;;;NA;
1;1;0;FC1;essgroup*prod0;ERR;NA;NA;;RES;;;;NA;
1;1;0;FC1;essgroup*prod0;ERR;NA;NA;;SCI;;;;NA;
1;1;0.717448513;FC1;essgroup*prod0;ERS;NA;NA;;PATE;;;;NA;
1;1;0;FC1;essgroup*prod0;ERS;NA;NA;;RES;;;;NA;
1;1;0;FC1;essgroup*prod0;ERS;NA;NA;;SCI;;;;NA;
