SubModuleID;ParameterEstimate;Ess_groupe
1;0.289518543;BOJ
1;-0.087215237;BOJ
1;0.137744285;BOJ
1;-0.262999283;BOJ
1;0.086256184;BOJ
1;0.611007023;BOJ
1;-0.201948387;BOJ
1;-0.011213116;BOJ
1;0.21685006;BOJ
1;0.238347095;BOJ
1;-0.023753356;BOJ
1;-0.011166803;BOJ
1;-0.069424317;BOJ
1;-0.019114388;BOJ
1;0.201547939;BOJ
1;-0.026812391;BOJ
1;-0.032918439;BOJ
1;-0.018263196;BOJ
1;-2.08e-5;BOJ
1;0.052153156;BOJ
1;0.109582336;BOJ
1;-0.033440301;BOJ
1;0.006934546;BOJ
1;-0.068378378;BOJ
1;-0.022281212;BOJ
1;0.057720421;BOJ
1;0.047723459;BOJ
1;0.213116064;BOJ
2;0.402633684;BOJ
2;0.396850821;BOJ
2;0.490695224;BOJ
2;-0.392851756;BOJ
2;-0.48963919;BOJ
2;0.542818951;BOJ
2;-0.368604611;BOJ
2;-0.432518085;BOJ
2;0.433896497;BOJ
2;0.42093198;BOJ
2;-0.033289402;BOJ
2;-0.062457202;BOJ
2;0.061645519;BOJ
2;0.019367287;BOJ
2;0.060213155;BOJ
2;-0.138602435;BOJ
2;-0.088087265;BOJ
2;0.083528132;BOJ
2;0.07895173;BOJ
2;0.00338041;BOJ
2;0.52250336;BOJ
2;-0.022143831;BOJ
2;-0.00533072;BOJ
2;-0.007172655;BOJ
2;-0.008107407;BOJ
2;0.004391465;BOJ
2;0.024903693;BOJ
2;0.069838106;BOJ
2;-0.131068821;BOJ
2;-0.085997896;BOJ
2;0.082167128;BOJ
2;0.084521998;BOJ
2;-0.008988802;BOJ
2;0.072093168;BOJ
2;0.021484855;BOJ
2;0.670612169;BOJ
3;0.184191683;BOJ
3;0.185534033;BOJ
3;0.227375964;BOJ
3;0.188625025;BOJ
3;0.231869777;BOJ
3;0.261889195;BOJ
3;-0.154111715;BOJ
3;-0.19407612;BOJ
3;-0.221907993;BOJ
3;0.241296466;BOJ
3;-0.150526217;BOJ
3;-0.187964792;BOJ
3;-0.202762831;BOJ
3;0.1928151;BOJ
3;0.196020746;BOJ
3;-0.141603792;BOJ
3;-0.160669336;BOJ
3;-0.162136535;BOJ
3;0.158644919;BOJ
3;0.155903676;BOJ
3;0.157045693;BOJ
3;-0.028338172;BOJ
3;-0.035241424;BOJ
3;-0.039772198;BOJ
3;0.01995087;BOJ
3;0.020625379;BOJ
3;0.011609451;BOJ
3;0.109495632;BOJ
3;-0.017888593;BOJ
3;-0.020285924;BOJ
3;-0.022148417;BOJ
3;0.004440752;BOJ
3;0.007188889;BOJ
3;4.93595e-4;BOJ
3;0.01920815;BOJ
3;0.026926578;BOJ
3;-0.005129193;BOJ
3;-0.008256684;BOJ
3;-0.013097011;BOJ
3;0.018074517;BOJ
3;0.00647079;BOJ
3;0.006266517;BOJ
3;-0.002223542;BOJ
3;-0.002737232;BOJ
3;0.039689278;BOJ
3;-0.055878699;BOJ
3;-0.066476794;BOJ
3;-0.070007939;BOJ
3;0.022356655;BOJ
3;0.012592629;BOJ
3;0.007929526;BOJ
3;0.003727781;BOJ
3;-0.005646283;BOJ
3;-0.014924013;BOJ
3;0.175740986;BOJ
3;-0.031119586;BOJ
3;-0.013635586;BOJ
3;-0.011529939;BOJ
3;0.008325024;BOJ
3;0.008142552;BOJ
3;0.007491158;BOJ
3;-0.004641708;BOJ
3;-0.007668919;BOJ
3;0.0041825;BOJ
3;0.011978693;BOJ
3;0.145860494;BOJ
3;-0.019270579;BOJ
3;-0.014650967;BOJ
3;-0.012720329;BOJ
3;3.82e-5;BOJ
3;0.001160154;BOJ
3;9.80386e-4;BOJ
3;-8.98397e-4;BOJ
3;7.92108e-4;BOJ
3;0.002779108;BOJ
3;0.014306391;BOJ
3;0.013466064;BOJ
3;0.027647999;BOJ
3;-0.044327485;BOJ
3;-0.038356275;BOJ
3;-0.03680645;BOJ
3;0.037370831;BOJ
3;0.037872072;BOJ
3;0.030563639;BOJ
3;0.002140551;BOJ
3;-0.006089866;BOJ
3;0.002053648;BOJ
3;-1.30592e-4;BOJ
3;0.022700772;BOJ
3;0.010676278;BOJ
3;0.260816338;BOJ
1;6.408691649;ERR
1;-0.321971278;ERR
1;0.215436629;ERR
1;-0.00571891;ERR
1;1.31342e-4;ERR
1;5.29e-6;ERR
1;-0.022737536;ERR
1;0.087401445;ERR
1;-1.20964e-4;ERR
1;0.198302476;ERR
2;0.386196182;ERR
2;0.322066708;ERR
2;0.408958165;ERR
2;-0.26579633;ERR
2;-0.386598779;ERR
2;0.51128496;ERR
2;-0.281807575;ERR
2;-0.320846364;ERR
2;0.32903586;ERR
2;0.329570602;ERR
2;-0.165487895;ERR
2;-0.077881182;ERR
2;0.016784769;ERR
2;0.028753481;ERR
2;0.261528036;ERR
2;-0.093023099;ERR
2;-0.035511522;ERR
2;-0.050373804;ERR
2;-0.013922198;ERR
2;0.101233488;ERR
2;0.141459367;ERR
2;-0.156155586;ERR
2;-0.069839546;ERR
2;0.009049918;ERR
2;0.019681886;ERR
2;0.13710858;ERR
2;0.100714171;ERR
2;0.975646695;ERR
3;0.386196182;ERR
3;0.322066708;ERR
3;0.408958165;ERR
3;-0.26579633;ERR
3;-0.386598779;ERR
3;0.51128496;ERR
3;-0.281807575;ERR
3;-0.320846364;ERR
3;0.32903586;ERR
3;0.329570602;ERR
3;-0.165487895;ERR
3;-0.077881182;ERR
3;0.016784769;ERR
3;0.028753481;ERR
3;0.261528036;ERR
3;-0.093023099;ERR
3;-0.035511522;ERR
3;-0.050373804;ERR
3;-0.013922198;ERR
3;0.101233488;ERR
3;0.141459367;ERR
3;-0.156155586;ERR
3;-0.069839546;ERR
3;0.009049918;ERR
3;0.019681886;ERR
3;0.13710858;ERR
3;0.100714171;ERR
3;0.975646695;ERR
1;0.046093396;ERS
1;-0.022514255;ERS
1;0.030036814;ERS
1;-0.027380974;ERS
1;0.019258764;ERS
1;0.091371094;ERS
1;-0.012783224;ERS
1;-0.002663603;ERS
1;0.015521154;ERS
1;0.024854564;ERS
1;-0.061222053;ERS
1;0.014099906;ERS
1;0.007406596;ERS
1;0.005161698;ERS
1;0.247251103;ERS
1;-0.005724824;ERS
1;-0.002164822;ERS
1;-0.012140481;ERS
1;-0.008761488;ERS
1;0.006872412;ERS
1;0.035731047;ERS
1;-0.008357052;ERS
1;-0.005061906;ERS
1;-0.004974682;ERS
1;-5.93785e-4;ERS
1;0.006843554;ERS
1;0.012159038;ERS
1;0.025870837;ERS
1;-0.005957532;ERS
1;0.001279904;ERS
1;-0.003560679;ERS
1;-0.010044184;ERS
1;-0.002732032;ERS
1;0.014287545;ERS
1;0.011107631;ERS
1;0.078264481;ERS
2;0.074263918;ERS
2;0.077032733;ERS
2;0.115122891;ERS
2;-0.060129637;ERS
2;-0.096020016;ERS
2;0.108841821;ERS
2;-0.051124342;ERS
2;-0.071846884;ERS
2;0.073988611;ERS
2;0.069383925;ERS
2;-0.0144521;ERS
2;-0.025548694;ERS
2;0.013780323;ERS
2;0.005185983;ERS
2;0.0569064;ERS
2;-0.009927981;ERS
2;-0.014270056;ERS
2;-0.001229263;ERS
2;-0.003452368;ERS
2;0.017754469;ERS
2;0.023241607;ERS
2;-0.022500573;ERS
2;-0.006207316;ERS
2;0.006253213;ERS
2;0.006282056;ERS
2;-0.009893781;ERS
2;-0.008849295;ERS
2;0.085891442;ERS
2;-0.009133552;ERS
2;-0.001903493;ERS
2;-0.004830082;ERS
2;-0.003805787;ERS
2;-0.004301209;ERS
2;-8.80763e-4;ERS
2;0.011292092;ERS
2;0.021295874;ERS
2;-0.014011274;ERS
2;0.005963629;ERS
2;-0.005297139;ERS
2;-0.004802305;ERS
2;-0.007681785;ERS
2;-0.008017571;ERS
2;0.022247278;ERS
2;0.011556311;ERS
2;0.255931962;ERS
2;-0.003810181;ERS
2;-0.008349324;ERS
2;0.010722349;ERS
2;0.003930423;ERS
2;4.67e-5;ERS
2;-3.4854e-4;ERS
2;5.75604e-4;ERS
2;2.03222e-4;ERS
2;-7.61601e-4;ERS
2;0.007549076;ERS
2;-0.038287285;ERS
2;-0.044462477;ERS
2;0.008361498;ERS
