SubModuleID;Ess_groupe;ParameterEstimate;Variable;Qualite;ClassVal0;ClassVal1;DF
1;BOJ;0.556933151;Intercept;NA;NA;NA;1
1;BOJ;-4.888468376;abcd0;C;C;NA;1
1;BOJ;0;abcd0;D;D;NA;0
1;BOJ;-2.324399087;type_pe;NA;type0;NA;1
1;BOJ;0.165739219;type_pe;NA;type1;NA;1
1;BOJ;0;type_pe;NA;type2;NA;0
1;BOJ;3.177829575;vigu0*prod0;NA;NVIG;PATE;1
1;BOJ;0;vigu0*prod0;NA;NVIG;RES;NA
1;BOJ;1.793132093;vigu0*prod0;NA;NVIG;SCI;1
1;BOJ;2.172428204;vigu0*prod0;NA;VIG;PATE;1
1;BOJ;0;vigu0*prod0;NA;VIG;RES;NA
1;BOJ;0;vigu0*prod0;NA;VIG;SCI;0
2;BOJ;1.751522563;Intercept;NA;D;NA;1
2;BOJ;6.916016367;Intercept;NA;C;NA;1
2;BOJ;-9.524928454;abcd0;B;B;NA;1
2;BOJ;-4.963862946;abcd0;C;C;NA;1
2;BOJ;0;abcd0;D;D;NA;0
2;BOJ;-1.624907719;tr;NA;NA;NA;1
2;BOJ;2.513429334;vigu0*prod0;NA;NVIG;PATE;1
2;BOJ;0;vigu0*prod0;NA;NVIG;RES;NA
2;BOJ;0.873734375;vigu0*prod0;NA;NVIG;SCI;1
2;BOJ;2.075976315;vigu0*prod0;NA;VIG;PATE;1
2;BOJ;0;vigu0*prod0;NA;VIG;RES;NA
2;BOJ;0;vigu0*prod0;NA;VIG;SCI;0
3;BOJ;2.646991837;Intercept;NA;D;NA;1
3;BOJ;6.619673138;Intercept;NA;C;NA;1
3;BOJ;9.384351538;Intercept;NA;B;NA;1
3;BOJ;-10.78016895;abcd0;A;A;NA;1
3;BOJ;-7.255735573;abcd0;B;B;NA;1
3;BOJ;-4.095138007;abcd0;C;C;NA;1
3;BOJ;0;abcd0;D;D;NA;0
3;BOJ;-1.326513904;type_pe;NA;type0;NA;1
3;BOJ;-0.43479415;type_pe;NA;type1;NA;1
3;BOJ;0;type_pe;NA;type2;NA;0
3;BOJ;-0.754683575;tr;NA;NA;NA;1
3;BOJ;-1.437393825;aam;NA;NA;NA;1
3;BOJ;2.393110968;vigu0*prod0;NA;NVIG;PATE;1
3;BOJ;0;vigu0*prod0;NA;NVIG;RES;NA
3;BOJ;0.6397265;vigu0*prod0;NA;NVIG;SCI;1
3;BOJ;0.599264374;vigu0*prod0;NA;VIG;PATE;1
3;BOJ;0;vigu0*prod0;NA;VIG;RES;NA
3;BOJ;0;vigu0*prod0;NA;VIG;SCI;0
1;ERR;7.254593976;Intercept;NA;NA;NA;1
1;ERR;-3.710978246;abcd0;C;C;NA;1
1;ERR;0;abcd0;D;D;NA;0
1;ERR;-0.005720769;prec;NA;NA;NA;1
1;ERR;1.469818869;prod0;NA;PATE;NA;1
1;ERR;0;prod0;NA;RES;NA;NA
1;ERR;0;prod0;NA;SCI;NA;0
2;ERR;1.302802349;Intercept;NA;D;NA;1
2;ERR;5.695810726;Intercept;NA;C;NA;1
2;ERR;-7.660612252;abcd0;B;B;NA;1
2;ERR;-4.304819395;abcd0;C;C;NA;1
2;ERR;0;abcd0;D;D;NA;0
2;ERR;2.412166194;vigu0*prod0;NA;NVIG;PATE;1
2;ERR;0;vigu0*prod0;NA;NVIG;RES;NA
2;ERR;1.472786924;vigu0*prod0;NA;NVIG;SCI;1
2;ERR;2.288448038;vigu0*prod0;NA;VIG;PATE;1
2;ERR;0;vigu0*prod0;NA;VIG;RES;NA
2;ERR;0;vigu0*prod0;NA;VIG;SCI;0
3;ERR;1.302802349;Intercept;NA;D;NA;1
3;ERR;5.695810726;Intercept;NA;C;NA;1
3;ERR;-7.660612252;abcd0;B;B;NA;1
3;ERR;-4.304819395;abcd0;C;C;NA;1
3;ERR;0;abcd0;D;D;NA;0
3;ERR;2.412166194;vigu0*prod0;NA;NVIG;PATE;1
3;ERR;0;vigu0*prod0;NA;NVIG;RES;NA
3;ERR;1.472786924;vigu0*prod0;NA;NVIG;SCI;1
3;ERR;2.288448038;vigu0*prod0;NA;VIG;PATE;1
3;ERR;0;vigu0*prod0;NA;VIG;RES;NA
3;ERR;0;vigu0*prod0;NA;VIG;SCI;0
1;ERS;2.518695647;Intercept;NA;NA;NA;1
1;ERS;-4.650179445;abcd0;C;C;NA;1
1;ERS;0;abcd0;D;D;NA;0
1;ERS;-2.913524528;type_pe;NA;type0;NA;1
1;ERS;-1.128084571;type_pe;NA;type1;NA;1
1;ERS;0;type_pe;NA;type2;NA;0
1;ERS;-2.654036574;aam;NA;NA;NA;1
1;ERS;2.670314325;vigu0*prod0;NA;NVIG;PATE;1
1;ERS;0;vigu0*prod0;NA;NVIG;RES;NA
1;ERS;1.000018509;vigu0*prod0;NA;NVIG;SCI;1
1;ERS;2.147226222;vigu0*prod0;NA;VIG;PATE;1
1;ERS;0;vigu0*prod0;NA;VIG;RES;NA
1;ERS;0;vigu0*prod0;NA;VIG;SCI;0
2;ERS;2.268698507;Intercept;NA;D;NA;1
2;ERS;7.363278632;Intercept;NA;C;NA;1
