SubModuleID;ParameterEstimate;Effect;Ess_groupe;response;;
10;-0.3303;Intercept;;count;;
10;-0.0784;St_Tot_Ha;;count;;
10;-4.8104;St_Ess_Ha;AUT;count;;
10;-0.4603;St_Ess_Ha;FEN;count;;
10;1.4844;lnNb_Ess_Ha+1;AUT;count;;
10;0.3089;lnNb_Ess_Ha+1;SAB;count;;
10;0.3759;lnNb_Gaules_Ess_Ha+1;EPX;count;;
10;0.3872;lnNb_Gaules_Ess_Ha+1;ERR;count;;
10;0.6202;lnNb_Gaules_Ess_Ha+1;FEN;count;;
10;0.4673;lnNb_Gaules_Ess_Ha+1;FIN;count;;
10;0.6869;lnNb_Gaules_68_Ess_Ha+1;ERS;count;;
10;0.7654;lnNb_Gaules_68_Ess_Ha+1;HEG;count;;
10;0.8023;lnNb_Gaules_68_Ess_Ha+1;BOJ;count;;
10;0.4466;lnNb_Gaules_68_Ess_Ha+1;SAB;count;;
10;0.1181;St_Tot_Ha;;pi;;
10;-0.1478;t;;pi;;
10;-0.9892;lnNb_Ess_Ha+1;AUT;pi;;
10;-0.5917;lnNb_Ess_Ha+1;EPX;pi;;
10;-0.6395;lnNb_Ess_Ha+1;ERR;pi;;
10;-1.0272;lnNb_Ess_Ha+1;FEN;pi;;
10;-0.9362;lnNb_Ess_Ha+1;FIN;pi;;
10;-0.7499;lnNb_Ess_Ha+1;HEG;pi;;
10;-1.6005;lnNb_Ess_Ha+1;RES;pi;;
10;-1.9476;lnNb_Gaules_Ess_Ha+1;BOJ;pi;;
10;-1.1691;lnNb_Gaules_68_Ess_Ha+1;ERS;pi;;
10;-0.4572;lnNb_Gaules_68_Ess_Ha+1;HEG;pi;;
10;1.4109;lnNb_Gaules_68_Ess_Ha+1;BOJ;pi;;
10;-1.9782;lnNb_Gaules_68_Ess_Ha+1;SAB;pi;;
11;9.082369278;Intercept;;;;
11;0.265611656;lnNb_Gaules_Ha+1;;;;
11;-0.724407858;lnNb_Tot_Ha;;;;
11;0.09084774;lnNb_Ess_Ha+1;HEG;;;
11;0.168516444;lnNb_Ess_Ha+1;ERS;;;
11;-0.089365167;lnNb_Ess_Ha+1;BOJ;;;
11;-0.044793009;lnNb_Ess_Ha+1;SAB;;;
11;-0.300876717;Temoins;;;;
11;-0.012284945;trt*t0_aj;;;;
11;0.027079042;t;;;;
12;3.498289508;Ratio_Gaules_Ess;;count;;
12;0.314289229;lnNb_Gaules_Ess_Ha+1;;count;;
12;-0.008530798;St_Tot_Ha;;count;;
12;0.305957946;lnNb_Tot_ha;;count;;
12;0.349795342;lnNb_Ess_Ha+1;AUT;count;;
12;0.211985792;lnNb_Ess_Ha+1;BOJ;count;;
12;-0.117504448;lnNb_Ess_Ha+1;EPX;count;;
12;0.227846024;lnNb_Ess_Ha+1;ERR;count;;
12;0.143232692;lnNb_Ess_Ha+1;ERS;count;;
12;0.075489865;lnNb_Ess_Ha+1;FEN;count;;
12;-0.101216887;lnNb_Ess_Ha+1;FIN;count;;
12;0.381547805;lnNb_Ess_Ha+1;HEG;count;;
12;0.101666383;lnNb_Ess_Ha+1;RES;count;;
12;0.128343721;lnNb_Ess_Ha+1;SAB;count;;
12;-0.001321954;Ptot;;count;;
12;-0.024896155;trt*t0_aj;;count;;
12;0.023907541;t;;count;;
12;0.069635139;Longitude;;count;;
12;-1.664744944;lnNb__Ess_Gaules_Ha+1;;pi;;
12;-0.19828051;lnNb_Ess_Ha+1;AUT;pi;;
12;-1.02154498;lnNb_Ess_Ha+1;BOJ;pi;;
12;-0.759068666;lnNb_Ess_Ha+1;EPX;pi;;
12;-0.216365587;lnNb_Ess_Ha+1;ERR;pi;;
12;-0.275985934;lnNb_Ess_Ha+1;FEN;pi;;
12;-0.292131382;lnNb_Ess_Ha+1;FIN;pi;;
12;-0.636572967;lnNb_Ess_Ha+1;SAB;pi;;
12;-0.118676866;t;;pi;;
12;0.074939585;Longitude;;pi;;
12;0.19500833;Latitude;;pi;;
13;-0.2883;log(TotDen_Sap_T1);;count;;
13;0.3542;log(SapSpecies_TotDensityT1 + 1);;count;;
13;0.3571;log(SapSpecies_DBH68DensityT0 + 1);;count;;
13;0.2136;log(DenTot_Ha);;count;;
13;0.0097;GrowingDays;;count;;
13;16.2601;Intercept;;pi;;
13;-1.6395;log(TotDen_Sap_T1);;pi;;
13;-1.2454;log(SapSpecies_TotDensityT1 + 1);;pi;;
13;-0.9676;log(SapSpecies_DBH68DensityT0 + 1);;pi;;
14;1.3251;Intercept;;count;;
14;0.2517;log(SapSpecies_DBH68DensityT0 + 1);;count;;
14;0.3924;log(SapSpecies_DBH24DensityT0 + 1);;count;;
14;2.9393;Intercept;;pi;;
14;-0.7562;log(SapSpecies_TotDensityT0 + 1);;pi;;
14;-0.9475;log(SapSpecies_DBH68DensityT0 + 1);;pi;;
15;9.3346;Intercept;;count;;
15;0.6016;log(SapSpecies_TotDensityT1 + 1);;count;;
15;0.3232;log(SapSpecies_DBH68DensityT0 + 1);;count;;
15;0.0307;Time interval;;count;;
15;0.4115;trtTEM;;count;;
15;0.0213;I(dummy_traitement * TimeSinceLastTreatment);;count;;
15;-0.219;Latitude;;count;;
15;9.0859;Intercept;;pi;;
15;-0.54603;log(TotDen_Sap_T1);;pi;;
15;-0.87249;log(SapSpecies_TotDensityT1 + 1);;pi;;
15;-1.14212;log(SapSpecies_DBH68DensityT0 + 1);;pi;;
15;-0.2229;BA_Species_Ha_BOJ;;pi;;
15;0.31666;log(Den_Species_Ha_BOJ + 1);;pi;;
15;-0.04744;I(dummy_traitement * TimeSinceLastTreatment);;pi;;
